id,Name,Shop,Life,Quantity,Cal
2,Персик,Макс-маркет,73,1,363
12,Морковь,Магнит,152,1,1620
32,Смородина,Пятерочка,133,1,1407
85,Смородина,Магнит,119,1,510
132,Томаты,Лента,136,1,262
138,Слива,Пятерочка,103,1,1929
143,Капуста,Лента,88,1,1808
207,Гречка,Пятерочка,45,1,778
229,Сахар,Пятерочка,143,1,749
351,Милкис,Лента,145,1,921
367,Яблоко,Пятерочка,172,1,1736
368,Гречка,Магнит,10,1,848
369,Чай,Магнит,89,1,265
496,Йогурт,Перекресток,144,1,1569
589,Вишня,Пятерочка,29,1,644
632,Кофе,Перекресток,18,1,1420
690,Баклажан,Перекресток,90,1,704
797,Вишня,Лента,23,1,420
812,Петрушка,Магнит,57,1,1617
834,Чай,Магнит,7,1,214
884,Редька,Лента,85,1,1074
977,Гречка,Пятерочка,124,1,1884
