id,Name,Shop,Life,Quantity,Cal
1,Milk,Cow,54,32,1340
2,Персик,Макс-маркет,73,1,363
3,Лук,Макс-маркет,133,43,1976
4,Редис,Макс-маркет,86,32,1631
5,Помидоры,Магнит,113,44,1425
6,Сахар,Лента,36,15,841
7,Помидоры,Магнит,44,43,1129
8,Апельсин,Больше-меньше,150,5,992
9,Мед,Больше-меньше,90,32,275
10,Сосиски,Больше-меньше,135,42,626
11,Сырокопчености,Магнит,107,49,1103
12,Морковь,Магнит,152,1,1620
13,Апельсин,Пятерочка,140,34,1266
14,Мука,Перекресток,65,16,1632
15,Йогурт,Перекресток,19,15,316
16,Молоко,Пятерочка,141,46,828
17,Груша,Магнит,8,18,230
18,Колбаса,Лента,54,27,244
19,Рис,Лента,145,25,1946
20,Чай,Пятерочка,104,14,212
21,Сметана,Больше-меньше,161,42,893
22,Йогурт,Лента,141,49,777
23,Лимон,Больше-меньше,167,31,471
24,Мука,Больше-меньше,31,32,543
25,Морковь,Лента,96,12,845
26,Абрикос,Лента,26,41,1506
27,Рис,Макс-маркет,87,34,426
28,Фасоль,Больше-меньше,90,11,1355
29,Сахар,Больше-меньше,93,12,573
30,Яблоко,Лента,27,31,532
31,Мороженое,Макс-маркет,39,22,1372
32,Смородина,Пятерочка,133,1,1407
33,Клубника,Лента,157,22,911
34,Зеленый горошек,Перекресток,71,4,362
35,Баклажан,Перекресток,129,14,613
36,Творог,Макс-маркет,39,42,1268
37,Апельсин,Больше-меньше,89,35,284
38,Картофель,Больше-меньше,30,19,1902
39,Чеснок,Перекресток,146,25,1418
40,Апельсин,Пятерочка,97,32,872
41,Колбаса,Больше-меньше,174,24,988
42,Милкис,Больше-меньше,136,23,781
43,Помидоры,Магнит,48,47,300
44,Яйца,Перекресток,149,50,388
45,Творог,Пятерочка,78,40,729
46,Кофе,Больше-меньше,29,3,1789
47,Яйца,Лента,88,45,1388
48,Сливки,Макс-маркет,10,46,918
49,Слива,Макс-маркет,82,12,285
50,Перец,Пятерочка,4,50,334
51,Ветчина,Лента,67,25,543
52,Кефир,Перекресток,102,19,1932
53,Яйца,Больше-меньше,40,34,420
54,Абрикос,Лента,149,25,709
55,Редис,Пятерочка,82,32,975
56,Томаты,Лента,33,37,1656
57,Кефир,Больше-меньше,51,35,834
58,Редька,Пятерочка,150,42,635
59,Мороженое,Магнит,97,7,697
60,Мука,Макс-маркет,91,8,807
61,Морковь,Перекресток,14,24,1342
62,Кефир,Лента,124,30,403
63,Кофе,Лента,34,8,1904
64,Гречка,Магнит,17,10,1663
65,Белокочанная капуста,Лента,1,42,1054
66,Фасоль,Перекресток,88,4,1907
67,Огурцы,Магнит,11,37,1677
68,Баклажан,Магнит,125,23,1323
69,Кофе,Лента,13,4,1559
70,Помидоры,Перекресток,102,3,1529
71,Перец,Макс-маркет,98,5,888
72,Гречка,Лента,64,47,291
73,Бекон,Магнит,93,22,1775
74,Яйца,Перекресток,12,9,1484
75,Персик,Лента,30,43,485
76,Яйца,Макс-маркет,134,22,303
77,Слива,Макс-маркет,124,28,1294
78,Перец сладкий,Лента,19,19,938
79,Сливки,Лента,84,46,221
80,Смородина,Макс-маркет,22,44,1592
81,Сникерс,Больше-меньше,114,3,1544
82,Мороженое,Лента,54,20,1308
83,Гречка,Лента,125,6,1874
84,Йогурт,Пятерочка,147,4,1510
85,Смородина,Магнит,119,1,510
86,Свекла,Макс-маркет,70,39,262
87,Яйца,Пятерочка,64,24,1395
88,Перец,Лента,81,11,770
89,Фасоль,Макс-маркет,49,47,889
90,Чай,Макс-маркет,75,29,428
91,Гречка,Лента,109,17,440
92,Кофе,Магнит,137,36,1862
93,Лимон,Пятерочка,118,35,1892
94,Творог,Пятерочка,127,44,391
95,Сливки,Лента,32,21,993
96,Мороженое,Пятерочка,73,43,1053
97,Мука,Больше-меньше,135,19,644
98,Яблоко,Перекресток,35,39,1046
99,Картофель,Макс-маркет,54,28,1343
100,Апельсин,Пятерочка,85,43,1476
101,Сосиски,Больше-меньше,139,17,1350
102,Кофе,Лента,112,39,461
103,Перец,Пятерочка,159,39,1264
104,Колбаса,Больше-меньше,127,43,1150
105,Картофель,Пятерочка,109,31,1981
106,Яблоко,Магнит,70,24,1414
107,Яблоко,Магнит,9,22,839
108,Мясо,Лента,74,22,1996
109,Мука,Перекресток,30,29,813
110,Сникерс,Лента,156,40,433
111,Перец сладкий,Магнит,9,43,1100
112,Абрикос,Пятерочка,151,33,525
113,Укроп,Больше-меньше,136,47,1705
114,Молоко,Магнит,87,37,940
115,Молоко,Перекресток,76,48,472
116,Петрушка,Больше-меньше,42,47,760
117,Перец,Лента,62,6,1925
118,Редька,Перекресток,158,41,1287
119,Томаты,Перекресток,173,43,871
120,Ветчина,Больше-меньше,133,44,1653
121,Милкис,Перекресток,40,5,1644
122,Укроп,Больше-меньше,160,3,1114
123,Соль,Макс-маркет,13,2,1080
124,Огурцы,Перекресток,86,29,1918
125,Милкис,Перекресток,97,9,1953
126,Смородина,Макс-маркет,47,44,1714
127,Хлеб,Больше-меньше,122,46,727
128,Клубника,Макс-маркет,174,50,1360
129,Вишня,Макс-маркет,76,21,1613
130,Чай,Магнит,139,13,469
131,Редис,Больше-меньше,150,33,565
132,Томаты,Лента,136,1,262
133,Мука,Больше-меньше,9,8,1479
134,Картошка,Магнит,46,22,538
135,Перец,Больше-меньше,167,12,914
136,Вишня,Магнит,88,14,1508
137,Мороженое,Магнит,115,17,1748
138,Слива,Пятерочка,103,1,1929
139,Милкис,Пятерочка,28,35,739
140,Мука,Лента,131,41,908
141,Укроп,Магнит,148,40,1615
142,Масло,Лента,155,34,1747
143,Капуста,Лента,88,1,1808
144,Кофе,Магнит,57,6,437
145,Груша,Перекресток,114,26,1441
146,Картофель,Пятерочка,26,41,1197
147,Йогурт,Макс-маркет,101,3,1964
148,Хлеб,Магнит,136,11,317
149,Персик,Макс-маркет,25,16,341
150,Груша,Перекресток,111,26,1271
151,Слива,Пятерочка,68,6,1535
152,Вишня,Магнит,47,36,1362
153,Томаты,Лента,40,3,1245
154,Свекла,Больше-меньше,98,47,876
155,Творог,Лента,176,41,1063
156,Масло,Больше-меньше,56,27,583
157,Огурцы,Макс-маркет,104,16,1842
158,Томаты,Макс-маркет,125,23,1463
159,Сосиски,Больше-меньше,168,23,1634
160,Картошка,Пятерочка,92,40,1716
161,Редис,Больше-меньше,99,48,1298
162,Груша,Больше-меньше,40,38,695
163,Лук,Лента,8,35,849
164,Картофель,Больше-меньше,146,14,1670
165,Груша,Макс-маркет,141,18,1915
166,Соль,Пятерочка,134,16,1783
167,Сливки,Больше-меньше,124,33,560
168,Перец сладкий,Пятерочка,169,24,1254
169,Чай,Магнит,98,19,1099
170,Клубника,Больше-меньше,34,20,990
171,Фасоль,Макс-маркет,61,43,576
172,Петрушка,Магнит,95,13,349
173,Перец сладкий,Больше-меньше,81,33,547
174,Картошка,Пятерочка,37,10,909
175,Картошка,Магнит,114,19,1598
176,Масло,Лента,39,4,1439
177,Масло,Больше-меньше,76,18,481
178,Капуста,Магнит,130,13,1124
179,Белокочанная капуста,Лента,132,50,1715
180,Соль,Перекресток,106,22,1854
181,Капуста,Лента,76,12,1609
182,Огурцы,Больше-меньше,120,23,1023
183,Абрикос,Пятерочка,114,13,1875
184,Вишня,Перекресток,21,15,724
185,Огурец,Пятерочка,16,50,975
186,Апельсин,Магнит,101,46,848
187,Капуста,Макс-маркет,42,22,535
188,Редис,Больше-меньше,82,3,596
189,Клубника,Перекресток,36,2,576
190,Слива,Магнит,126,43,1923
191,Укроп,Макс-маркет,65,36,1641
192,Кефир,Больше-меньше,107,12,886
193,Слива,Больше-меньше,169,19,1384
194,Помидоры,Магнит,143,35,1805
195,Молоко,Пятерочка,2,14,935
196,Петрушка,Магнит,106,31,328
197,Свекла,Перекресток,44,39,1160
198,Гречка,Лента,131,41,1352
199,Творог,Пятерочка,103,2,384
200,Мясо,Магнит,168,50,1741
201,Ветчина,Пятерочка,9,43,823
202,Сахар,Больше-меньше,163,44,1241
203,Сникерс,Лента,64,50,1635
204,Помидоры,Макс-маркет,160,13,1236
205,Ветчина,Макс-маркет,162,29,288
206,Сосиски,Магнит,13,27,881
207,Гречка,Пятерочка,45,1,778
208,Сахар,Перекресток,155,48,1298
209,Хлеб,Пятерочка,153,30,314
210,Лимон,Магнит,2,12,904
211,Персик,Перекресток,98,46,317
212,Фасоль,Макс-маркет,138,34,1159
